# Session: Friday 2/27/2026 1:15-1:30 AM BTC 15 Minute
# Side: YES
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB270130-30
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
01:15:00,0:00,KXBTC15M-26FEB270130-30,51,59,8,55.0,19,140,—,67669.54,—,—,—,
01:15:01,0:01,KXBTC15M-26FEB270130-30,51,53,2,52.0,19,50,—,67669.54,—,—,—,
01:15:01,0:01,KXBTC15M-26FEB270130-30,51,53,2,52.0,19,50,51,67669.54,—,—,—,
01:15:02,0:02,KXBTC15M-26FEB270130-30,51,52,1,51.5,19,20,51,67669.54,—,—,—,
01:15:02,0:02,KXBTC15M-26FEB270130-30,51,52,1,51.5,19,20,51,67669.54,—,—,—,
01:15:03,0:03,KXBTC15M-26FEB270130-30,51,52,1,51.5,19,20,51,67669.54,—,—,—,
01:15:03,0:03,KXBTC15M-26FEB270130-30,51,52,1,51.5,18,20,51,67669.54,—,—,—,
01:15:04,0:04,KXBTC15M-26FEB270130-30,51,52,1,51.5,18,170,51,67669.30,—,—,—,
01:15:04,0:04,KXBTC15M-26FEB270130-30,50,51,1,50.5,103,2,51,67669.11,—,—,—,
01:15:05,0:05,KXBTC15M-26FEB270130-30,50,51,1,50.5,101,2,51,67668.96,—,—,—,
01:15:06,0:06,KXBTC15M-26FEB270130-30,50,51,1,50.5,32,400,51,67668.84,—,—,—,
01:15:06,0:06,KXBTC15M-26FEB270130-30,50,51,1,50.5,32,400,52,67668.89,—,—,—,
01:15:07,0:07,KXBTC15M-26FEB270130-30,50,51,1,50.5,31,400,52,67668.94,—,—,—,
01:15:07,0:07,KXBTC15M-26FEB270130-30,48,50,2,49.0,40,207,50,67668.98,"67,677.12",▼-8.14,-0.0120%,
01:15:08,0:08,KXBTC15M-26FEB270130-30,48,50,2,49.0,63,206,50,67669.01,"67,677.12",▼-8.11,-0.0120%,
01:15:08,0:08,KXBTC15M-26FEB270130-30,48,49,1,48.5,37,47,48,67668.92,"67,677.12",▼-8.20,-0.0121%,
01:15:09,0:09,KXBTC15M-26FEB270130-30,48,49,1,48.5,37,495,48,67668.84,"67,677.12",▼-8.28,-0.0122%,
01:15:09,0:09,KXBTC15M-26FEB270130-30,48,49,1,48.5,37,495,48,67668.75,"67,677.12",▼-8.37,-0.0124%,
01:15:10,0:10,KXBTC15M-26FEB270130-30,48,49,1,48.5,37,498,48,67668.79,"67,677.12",▼-8.33,-0.0123%,
01:15:10,0:10,KXBTC15M-26FEB270130-30,43,44,1,43.5,1,804,44,67668.82,"67,677.12",▼-8.30,-0.0123%,
01:15:11,0:11,KXBTC15M-26FEB270130-30,43,44,1,43.5,1,760,44,67668.85,"67,677.12",▼-8.26,-0.0122%,
01:15:11,0:11,KXBTC15M-26FEB270130-30,41,44,3,42.5,178,626,44,67668.88,"67,677.12",▼-8.24,-0.0122%,
01:15:12,0:12,KXBTC15M-26FEB270130-30,41,43,2,42.0,178,2,44,67668.83,"67,677.12",▼-8.29,-0.0123%,
01:15:12,0:12,KXBTC15M-26FEB270130-30,40,42,2,41.0,122,45,44,67668.77,"67,677.12",▼-8.35,-0.0123%,
01:15:13,0:13,KXBTC15M-26FEB270130-30,39,41,2,40.0,78,189,44,67668.72,"67,677.12",▼-8.40,-0.0124%,
01:15:13,0:13,KXBTC15M-26FEB270130-30,39,41,2,40.0,67,189,40,67668.68,"67,677.12",▼-8.44,-0.0125%,
01:15:14,0:14,KXBTC15M-26FEB270130-30,39,41,2,40.0,2,234,40,67668.64,"67,677.12",▼-8.48,-0.0125%,
01:15:14,0:14,KXBTC15M-26FEB270130-30,39,41,2,40.0,2,234,38,67668.60,"67,677.12",▼-8.52,-0.0126%,
01:15:15,0:15,KXBTC15M-26FEB270130-30,38,41,3,39.5,44,465,41,67668.56,"67,677.12",▼-8.56,-0.0126%,
01:15:15,0:15,KXBTC15M-26FEB270130-30,—,40,—,—,,—,—,67668.56,"67,677.12",▼-8.56,-0.0126%,T40
01:15:15,0:15,KXBTC15M-26FEB270130-30,38,40,2,39.0,43,47,41,67668.53,"67,677.12",▼-8.59,-0.0127%,
01:15:16,0:16,KXBTC15M-26FEB270130-30,38,41,3,39.5,329,300,38,67668.49,"67,677.12",▼-8.63,-0.0127%,
01:15:17,0:17,KXBTC15M-26FEB270130-30,38,41,3,39.5,329,302,38,67668.46,"67,677.12",▼-8.66,-0.0128%,
01:15:17,0:17,KXBTC15M-26FEB270130-30,38,40,2,39.0,374,2,41,67668.43,"67,677.12",▼-8.68,-0.0128%,
01:15:18,0:18,KXBTC15M-26FEB270130-30,38,42,4,40.0,374,1010,41,67668.41,"67,677.12",▼-8.71,-0.0129%,
01:15:18,0:18,KXBTC15M-26FEB270130-30,38,40,2,39.0,45,7,38,67668.38,"67,677.12",▼-8.74,-0.0129%,
01:15:19,0:19,KXBTC15M-26FEB270130-30,38,40,2,39.0,47,2,38,67668.36,"67,677.12",▼-8.76,-0.0129%,
01:15:19,0:19,KXBTC15M-26FEB270130-30,38,40,2,39.0,244,2,41,67668.34,"67,677.12",▼-8.78,-0.0130%,
